epoch,train_loss,train_acc,val_loss,val_acc
1,0.6122702360153198,0.28436020016670227,0.3370734751224518,0.4265402853488922
2,0.3074195086956024,0.43364930152893066,0.22244426608085632,0.6161137223243713
3,0.2324128895998001,0.5450236797332764,0.1838088482618332,0.6729857921600342
4,0.1920630782842636,0.6042653918266296,0.15643800795078278,0.6872037649154663
5,0.15951725840568542,0.6013033390045166,0.12355655431747437,0.6682464480400085
6,0.12337394803762436,0.6735782027244568,0.0977831780910492,0.7014217972755432
7,0.09718643873929977,0.7203791737556458,0.060293298214673996,0.7819905281066895
8,0.07395536452531815,0.7375592589378357,0.06396394968032837,0.7914692163467407
9,0.06668958067893982,0.7683649063110352,0.037460554391145706,0.8720378875732422
10,0.056506626307964325,0.7760663628578186,0.052077196538448334,0.8151658773422241
11,0.05493435263633728,0.795616090297699,0.033699240535497665,0.8862559199333191
12,0.05493423715233803,0.7855450510978699,0.03835193067789078,0.8151658773422241
13,0.053602900356054306,0.7962085604667664,0.03593113645911217,0.8104265332221985
14,0.048128169029951096,0.7843601703643799,0.028604011982679367,0.8815165758132935
15,0.03864307329058647,0.8270142078399658,0.023590071126818657,0.9052132964134216
16,0.047438718378543854,0.8027251362800598,0.020221536979079247,0.9194312691688538
17,0.03720829635858536,0.8394549489021301,0.02430722303688526,0.9146919250488281
18,0.04226424917578697,0.8145734667778015,0.019122615456581116,0.9194312691688538
19,0.037850599735975266,0.8335307836532593,0.018078118562698364,0.928909957408905
20,0.03741263598203659,0.8228672742843628,0.0174761563539505,0.9052132964134216
21,0.03452770411968231,0.8441942930221558,0.01617591083049774,0.9241706132888794
22,0.033837687224149704,0.8471564054489136,0.015268858522176743,0.9383886456489563
23,0.03647193685173988,0.8424170613288879,0.016163360327482224,0.9336493015289307
24,0.03224029019474983,0.8572275042533875,0.015448505990207195,0.9668246507644653
25,0.036442533135414124,0.8412322402000427,0.026149136945605278,0.9052132964134216
26,0.03315981850028038,0.8471564054489136,0.01660611294209957,0.9336493015289307
27,0.028987713158130646,0.8524881601333618,0.01689828932285309,0.9194312691688538
28,0.03930973261594772,0.825236976146698,0.017598222941160202,0.9241706132888794
29,0.03835764527320862,0.8240521550178528,0.01884295418858528,0.8909952640533447
30,0.029565395787358284,0.8672986030578613,0.015699349343776703,0.9431279897689819
